Name	Host	RA	DEC	R_proj	m_g	m_g_err	m_r/i	m_r/i_err	M_g	M_V	M_V_err	logMstar	logM*_err	mu_0V	mu_0V_err	r_e	r_e_err	ETG?	confirmed?	P_sat	Filts	tel	bad_photo?	mu	D	r_e_ang
M33	M31	23.4583	30.6603	205.8						-18.84	0.1	9.51	0.22	25.46	0.6			False	True	1.0	None	MCCONN				
NGC205	M31	10.0917	41.6853	8.3						-16.48	0.1	8.78	0.22	19.2		589.7	24.0	True	True	1.0	None	MCCONN				
M32	M31	10.6708	40.8653	5.5						-16.43	0.1	8.76	0.22	11.1		110.1	11.7	True	True	1.0	None	MCCONN				
NGC147	M31	8.3	48.5089	101.8						-14.65	0.1	8.01	0.22	21.2		623.4		True	True	1.0	None	MCCONN				
IC10	M31	5.0708	59.3039	259.0						-15.0	0.2	7.83	0.22	24.6	0.2	612.3		False	True	1.0	None	MCCONN				
NGC185	M31	9.7417	48.3375	97.1						-14.75	0.1	8.05	0.22	20.8		457.4		True	True	1.0	None	MCCONN	≠			
andVII	M31	351.6292	50.6758	226.1		,nan				-13.21	0.3	7.39	0.22	23.2	0.2	775.9	22.2	True	True	1.0	None	MCCONN				
andXXXII	M31	8.9975	51.5597	142.5						-12.25	0.7	6.98	0.22	26.4	0.8	1467.7	271.0	True	True	1.0	None	MCCONN				
andII	M31	19.1242	33.4192	142.0						-12.57	0.2	7.12	0.22	24.5	0.2	1175.2	37.9	True	True	1.0	None	MCCONN				
andI	M31	11.4158	38.0411	44.7						-11.86	0.1	6.81	0.22	24.7	0.2	671.6	65.0	True	True	1.0	None	MCCONN				
andXXXI	M31	344.5679	41.2911	277.0						-11.7	0.7	6.74	0.22	25.8	0.8	926.8	88.3	True	True	1.0	None	MCCONN				
andIII	M31	8.8908	36.4978	67.8						-10.17	0.3	6.08	0.22	24.8	0.2	478.8	43.5	True	True	1.0	None	MCCONN				
andXXIII	M31	22.3408	38.7189	127.4						-10.23	0.5	6.11	0.22	28.0	0.5	1029.2	44.7	True	True	1.0	None	MCCONN				
andVI	M31	357.9429	24.5825	280.3						-11.47	0.2	6.64	0.22	24.1	0.2	524.1	45.6	True	True	1.0	None	MCCONN				
andXXI	M31	358.6987	42.4708	123.5						-9.79	0.6	5.92	0.22	27.0	0.4	842.9	72.3	True	True	1.0	None	MCCONN				
andXXV	M31	7.5371	46.8519	82.3						-9.75	0.5	5.9	0.22	27.1	0.5	709.3	47.3	True	True	1.0	None	MCCONN				
LGS3	M31	15.9792	21.885	282.2						-10.13	0.1	5.57	0.22	24.8	0.1	469.8	44.7	False	True	1.0	None	MCCONN				
andXV	M31	18.5779	38.1175	93.6						-9.38	0.3	5.74	0.22	24.8	0.4	220.0	9.1	True	True	1.0	None	MCCONN				
andV	M31	17.5713	47.6281	110.1						-9.54	0.2	5.81	0.22	25.3	0.2	314.7	45.0	True	True	1.0	None	MCCONN				
andXVIII	M31	0.5604	45.0889	113.8						-9.42		5.75	0.22	25.6		324.7	21.2	True	True	1.0	None	MCCONN				
NGC247	NGC253	11.7834	-20.757	282.2	9.44	0.08	8.96	0.09	-18.31	-18.6	0.09	9.41	0.13	21.27	0.11	4278.3	199.3	False	True	1.0	gr	DECALS		28.04	4.06	217.36
dw0047m2623	NGC253	11.8939	-26.3898	68.5	18.89	0.11	18.33	0.11	-8.86	-9.19	0.11	5.77	0.14	26.59	0.15	453.9	39.8	True	True	1.0	gr	DECALS		28.08	4.13	22.67
dw0049m2100	NGC253	12.4537	-21.0167	267.9	15.07	0.09	14.89	0.09	-12.69	-12.79	0.09	6.62	0.13	23.2	0.11	627.1	31.8	False	True	1.0	gr	DECALS		27.86	3.73	34.68
dw0050m2444	NGC253	12.5749	-24.7367	51.7	18.22	0.10	17.95	0.1	-9.53	-9.7	0.1	5.53	0.13	27.91	0.13	1539.2	115.0	True	True	1.0	gr	DECALS		27.92	3.84	82.68
dw0055m2309	NGC253	13.7538	-23.1688	169.0	17.49	0.09	17.14	0.1	-10.26	-10.47	0.1	5.96	0.13	23.75	0.12	279.1	18.1	False	True	1.0	gr	DECALS		27.96	3.91	14.72
dw0036m2828	NGC253	9.1273	-28.4701	250.4	18.67	0.11	18.47	0.11	-9.08	-9.21	0.11	5.23	0.14	24.39	0.14	311.7	25.8	False	False	0.05	gr	DECALS		27.88	3.77	17.05
dw0132p1422	NGC628	23.2486	14.3736	284.7	16.05	0.09	15.85	0.09	-13.9	-14.02	0.09	7.14	0.13	22.02	0.11	715.4	38.7	False	True	1.0	gr	DECALS		30.07	10.33	14.28
dw0133p1543	NGC628	23.4842	15.7314	113.5	19.94	0.14	19.38	0.13	-10.01	-10.34	0.14	6.22	0.15	23.93	0.2	214.4	25.6	True	True	1.0	gr	DECALS		30.28	11.38	3.89
dw0134p1544	NGC628	23.5537	15.7463	102.0	17.57	0.10	17.07	0.1	-12.38	-12.68	0.1	7.07	0.13	24.0	0.12	1078.1	65.9	True	True	1.0	gr	DECALS		30.25	11.22	19.82
