key,name,ra,dec,d_helio,d_gc,rhalf,ellipticity,mv,mv_err,rhalf_err,distance_err,survey,in_census,dwarf_class,in_box
lmc,LMC,78.76,-69.19,49.59067275049043,49.0826645786839,2544.2603788514216,0.164,-18.077,0.1,28.651974532997656,0.5481075292892221,mc,True,D,True
smc,SMC,16.25,-72.42,62.8058358813318,60.26213088319387,1080.8485385541474,,-16.79,0.2,89.99503547614995,2.893338054995553,mc,True,D,True
sagittarius_1,Sagittarius,284.0951655,-30.5498868,26.30267991895381,18.599283931360223,1565.8046771905542,0.64,-13.500000000000002,0.3,129.63262207938612,1.818370077897108,gc,True,D,True
fornax_1,Fornax,39.9583,-34.4997,142.5607593602188,144.5881999015748,695.332994665809,0.29,-13.393,0.2,15.721055878291509,3.1515361192533646,des,True,D,True
leo_1,Leo I,152.1146,12.3059,258.22601906345955,262.02022283862243,229.09598177545007,0.3,-11.82,0.28,18.64888722730496,9.515550326831772,ps1,True,D,True
sculptor_1,Sculptor,15.0183,-33.7186,83.94599865193982,84.04448493739005,223.23085751542965,0.33,-10.77,0.14,4.600196846153722,1.5464298935840546,des,True,D,True
antlia_2,Antlia II,143.8079,-36.6991,124.16523075924091,125.1488197212054,2379.319821386668,0.6,-9.73,0.08,247.86302400257773,5.147691671130623,gc,False,D,True
leo_2,Leo II,168.3627,22.1529,233.34580622810043,235.87629515326324,164.9465807259562,0.07,-9.72,0.04,10.233783545212065,13.978109242422931,delve,True,D,True
carina_1,Carina,100.4065,-50.9593,105.58445924300804,107.17678426138208,248.11686753386087,0.36,-9.429999999999998,0.05,13.207004459579508,5.399552659536759,delve,True,D,True
draco_1,Draco,260.0684,57.9185,81.54550000611157,81.52739842916696,193.2220759612257,0.29,-8.866999999999999,0.05,4.224666387859784,1.5022085736280104,ps1,True,D,True
ursa_minor_1,Ursa Minor,227.242,67.2221,70.14552984199713,72.07862010876251,250.4092162837465,0.55,-8.860000000000001,0.05,13.282052284630964,3.5548730457739808,ps1,True,D,True
canes_venatici_1,Canes Venatici I,202.0091,33.5521,210.86281499332887,210.63110836093347,326.43830673367563,0.44,-8.73,0.06,15.794917778459393,5.827096299706483,ps1,True,D,True
sextans_1,Sextans,153.268,-1.62,85.90135215053961,88.91328835520501,485.88521947537015,0.27,-8.720000000000002,0.06,28.765122450599563,3.957301860010944,delve,True,D,True
crater_2,Crater II,177.31,-18.413,116.5735440441268,115.50381326711188,1054.211326577475,,-8.182999999999998,0.1,90.93836804990798,3.758537948888531,delve,True,D,True
eridanus_2,Eridanus II,56.0925,-43.5329,369.8281797802659,371.6548480617636,178.94737299613195,0.48,-7.119999999999999,0.3,12.190959992091166,8.5163610387402,des,True,D,False
bootes_1,Bootes I,210.02,14.5135,66.37430704019089,64.00424304693458,160.8605354939023,0.3,-6.02,0.25,8.159037034803475,2.445873043081331,delve,True,D,True
hercules_1,Hercules,247.7722,12.7852,130.61708881318404,125.05221555014646,118.55219968459514,0.69,-5.806999999999999,0.17,12.407277297782102,6.017265567645445,ps1,True,D,True
bootes_3,Bootes III,209.3,26.8,46.55860935229591,45.58291438194171,447.9018957608454,0.33,-5.74,0.5,52.44432034295963,0.4288267022417997,ps1,False,D,True
centaurus_1,Centaurus I,189.5908,-40.9043,117.70637907805695,114.13375404922058,70.97392206926465,0.36,-5.353999999999999,0.19,8.877395537727189,3.7950625608814894,delve,True,D,True
bootes_4,Bootes IV,233.689,43.726,208.9296130854041,207.47691792332927,274.06641835195296,0.64,-5.34,0.2299999999999999,43.24942263135517,19.27034674022632,ps1,False,PD,True
canes_venatici_2,Canes Venatici II,194.2927,34.3226,159.9558028614668,160.57350129753075,54.038420810506864,0.4,-5.17,0.32,10.495238971602266,4.420304580492683,ps1,True,D,True
ursa_major_1,Ursa Major I,158.7706,51.9479,97.27472237769662,101.92439230390708,150.13832047403736,0.59,-5.140000000000001,0.38,12.362500279099647,5.827045781969851,ps1,True,D,True
hydra_2,Hydra II,185.4286,-31.9728,151.35612484362073,148.52094110303622,56.72928303864914,0.24,-5.099999999999998,0.165,12.208712542674917,7.670507439766311,delve,True,D,True
