name,dist,mv_host,mk_group,logmstar,r_cover,rvir,r_search
M104,9.55,-22.04,-25.01,11.09,150,418.258,150
M31,0.78,-21.19,-24.89,11.01,300,373.438,300
CENA,3.66,-21.29,-24.41,10.92,200,330.489,200
NGC4565,11.9,-20.84,-24.27,10.88,150,313.793,150
NGC891,9.12,-20.05,-23.83,10.84,200,298.477,200
NGC3521,11.2,-21.39,-24.41,10.83,330,294.856,294.856
MW,0,-20.74,-24.13,10.78,300,277.93,277.93
NGC1291,9.08,-21.01,-23.97,10.78,300,277.93,277.93
NGC253,3.56,-20.7,-23.96,10.77,300,274.773,274.773
NGC3115,10.2,-21.27,-24.14,10.76,300,271.688,271.688
NGC5194,8.58,-21.4,-24.51,10.73,150,262.858,150
NGC5055,8.87,-21.2,-24.04,10.72,300,260.052,260.052
NGC2903,9,-20.78,-23.69,10.67,300,246.982,246.982
M81,3.61,-21.07,-25.27,10.66,300,244.551,244.551
NGC3627,10.5,-21.28,-25.33,10.66,300,244.551,244.551
NGC6744,8.95,-21.64,-24,10.64,200,239.862,200
NGC3379,10.7,-20.46,-25.37,10.63,370,237.601,237.601
NGC4258,7.2,-20.92,-23.94,10.62,150,235.393,150
NGC1023,10.4,-20.91,-23.98,10.6,200,231.134,200
NGC2683,9.4,-20.17,-23.5,10.5,300,212.63,212.63
NGC628,9.77,-20.68,-22.81,10.45,300,204.867,204.867
NGC5236,4.7,-21.02,-23.67,10.37,300,194.087,194.087
NGC4826,5.3,-20.21,-23.24,10.36,300,192.862,192.862
NGC5457,6.5,-21.22,-23.16,10.33,300,189.329,189.329
NGC4736,4.2,-19.93,-23.1,10.29,300,184.925,184.925
NGC3344,9.82,-20.19,-22.27,10.27,300,182.842,182.842
NGC4631,7.4,-20.21,-22.9,10.05,200,163.802,163.802
NGC1808,9.29,-19.98,-23.78,10.01,300,160.901,160.901
NGC3556,9.55,-19.96,-22.76,9.94,300,156.112,156.112
NGC4517,8.34,-19.27,-22.16,9.93,300,155.454,155.454
NGC3621,6.7,-19.79,-22.37,9.9,0,153.515,0
