name,host,ra,dec,r_proj,mv,e_mv,logmstar,e_logmstar,mu0_v,r_e,is_etg,confirmed,psat,from_local_group,mu_eff
M33,M31,23.4583,30.6603,205.8,-18.84,0.1,9.51,0.22,25.46,,False,True,1,True,
NGC205,M31,10.0917,41.6853,8.3,-16.48,0.1,8.78,0.22,19.2,589.7,True,True,1,True,20.9407
M32,M31,10.6708,40.8653,5.5,-16.43,0.1,8.76,0.22,11.1,110.1,True,True,1,True,17.3465
NGC147,M31,8.3,48.5089,101.8,-14.65,0.1,8.01,0.22,21.2,623.4,True,True,1,True,22.8914
IC10,M31,5.0708,59.3039,259,-15,0.2,7.83,0.22,24.6,612.3,False,True,1,True,22.5024
NGC185,M31,9.7417,48.3375,97.1,-14.75,0.1,8.05,0.22,20.8,457.4,True,True,1,True,22.1191
andVII,M31,351.629,50.6758,226.1,-13.21,0.3,7.39,0.22,23.2,775.9,True,True,1,True,24.8066
andXXXII,M31,8.9975,51.5597,142.5,-12.25,0.7,6.98,0.22,26.4,1467.7,True,True,1,True,27.1508
andII,M31,19.1242,33.4192,142,-12.57,0.2,7.12,0.22,24.5,1175.2,True,True,1,True,26.3481
andI,M31,11.4158,38.0411,44.7,-11.86,0.1,6.81,0.22,24.7,671.6,True,True,1,True,25.8431
andXXXI,M31,344.568,41.2911,277,-11.7,0.7,6.74,0.22,25.8,926.8,True,True,1,True,26.7025
andIII,M31,8.8908,36.4978,67.8,-10.17,0.3,6.08,0.22,24.8,478.8,True,True,1,True,26.7983
andXXIII,M31,22.3408,38.7189,127.4,-10.23,0.5,6.11,0.22,28,1029.2,True,True,1,True,28.4001
andVI,M31,357.943,24.5825,280.3,-11.47,0.2,6.64,0.22,24.1,524.1,True,True,1,True,25.6946
andXXI,M31,358.699,42.4708,123.5,-9.79,0.6,5.92,0.22,27,842.9,True,True,1,True,28.4065
andXXV,M31,7.5371,46.8519,82.3,-9.75,0.5,5.9,0.22,27.1,709.3,True,True,1,True,28.0717
LGS3,M31,15.9792,21.885,282.2,-10.13,0.1,5.57,0.22,24.8,469.8,False,True,1,True,26.7971
andXV,M31,18.5779,38.1175,93.6,-9.38,0.3,5.74,0.22,24.8,220,True,True,1,True,25.8997
