name,mv,rhalf,rhalf_major,d_helio,d_gc,logmstar,mu_eff_lvdb,confirmed_real,confirmed_galaxy,assoc,mu_eff
LMC,-18.08,2544.26,2782.6,49.59,49.08,9.46,22.52,1,1,mw,22.5154
SMC,-16.79,1080.85,1080.85,62.81,60.26,8.95,21.95,1,1,lmc,21.9464
Sagittarius,-13.5,1565.8,2608.44,26.3,18.6,7.63,26.04,1,1,mw,26.0413
Fornax,-13.39,695.33,825.16,142.56,144.59,7.59,24.39,1,1,mw,24.3885
Leo I,-11.82,229.1,274.02,258.23,262.02,6.96,23.55,1,1,mw,23.5477
Sculptor,-10.77,223.23,272.68,83.95,84.04,6.54,24.54,1,1,mw,24.5413
Antlia II,-9.73,2379.32,3761.92,124.17,125.15,6.13,30.72,1,1,mw,30.7198
Leo II,-9.48,147.66,153,208.93,211.47,6.03,24.94,1,1,mw,24.9339
Carina,-9.43,248.12,310.03,105.58,107.18,6.01,26.11,1,1,mw,26.1109
Draco,-8.87,193.22,229.24,81.55,81.53,5.78,26.13,1,1,mw,26.1278
Ursa Minor,-8.86,250.41,373.33,70.15,72.08,5.78,26.7,1,1,mw,26.7008
Canes Venatici I,-8.73,326.44,436.17,210.86,210.63,5.73,27.41,1,1,mw,27.4066
Sextans,-8.72,485.89,568.65,85.9,88.91,5.72,28.28,1,1,mw,28.2803
Crater II,-8.18,1054.21,1054.21,116.57,115.5,5.51,30.5,1,1,mw,30.5022
Eridanus II,-7.12,178.95,247.97,369.83,371.65,5.08,27.71,1,1,mw,27.7112
Bootes I,-6.02,160.86,192.24,66.37,64,4.64,28.58,1,1,mw,28.5798
Hercules,-5.81,118.55,213.09,130.62,125.05,4.56,28.13,1,1,mw,28.1271
Bootes III,-5.74,447.9,548.05,46.56,45.58,4.53,31.09,1,1,mw,31.0835
Centaurus I,-5.35,70.97,88.6,117.71,114.13,4.37,27.47,1,1,mw,27.4729
Bootes IV,-5.34,274.07,458.32,208.93,207.48,4.37,30.42,1,0,mw,30.4169
Canes Venatici II,-5.17,54.04,70.33,159.96,160.57,4.3,27.06,1,1,mw,27.0612
Ursa Major I,-5.14,150.14,234.5,97.27,101.92,4.29,29.31,1,1,mw,29.3101
Hydra II,-5.1,56.73,66.38,151.36,148.52,4.27,27.24,1,1,mw,27.2366
Leo IV,-4.95,101.11,111.37,151.36,151.93,4.21,28.64,1,1,mw,28.6415
Hydrus I,-4.71,52.42,59.28,27.54,25.68,4.12,27.46,1,1,lmc,27.4551
Carina II,-4.57,76.52,94.26,37.39,38.27,4.06,28.42,1,1,lmc,28.4165
Ursa Major II,-4.42,92.06,138.83,34.67,40.8,4,28.97,1,1,mw,28.9679
Leo V,-4.4,35.23,48.66,169.04,169.84,3.99,26.91,1,1,mw,26.9021
Aquarius II,-4.36,123.69,158.77,107.65,105.13,3.98,29.67,1,1,mw,29.6692
Coma Berenices,-4.29,54.94,69.14,42.27,43.46,3.95,27.98,1,1,mw,27.977
Pisces II,-4.28,56.31,70.97,182.81,181.95,3.95,28.04,1,1,mw,28.0405
Pegasus IV,-4.25,41.63,41.63,89.95,89.1,3.93,27.42,1,1,mw,27.4146
Columba I,-4.2,97.34,116.48,182.81,187.35,3.91,29.31,1,1,mw,29.309
Pegasus III,-4.17,82.12,103.57,214.78,212.84,3.9,28.97,1,1,mw,28.9698
Grus I,-4.13,113.42,152.01,126.47,122.7,3.89,29.71,1,1,mw,29.711
Sextans II,-3.91,114.79,152.33,125.89,128.51,3.8,29.96,1,0,mw,29.9571
Tucana II,-3.75,161.67,208.67,56.23,52.48,3.73,30.86,1,1,mw,30.8607
Leo VI,-3.56,86.86,133.45,111.17,113.69,3.66,29.7,1,1,mw,29.7017
Eridanus IV,-3.55,56.18,65.33,69.82,76.25,3.65,28.77,1,1,mw,28.7655
Grus II,-3.5,94.36,94.36,55.21,50.67,3.63,29.94,1,1,mw,29.9415
Cetus III,-3.45,42.66,88.48,251.19,255.06,3.61,28.27,0,0,mw,28.2677
Horologium I,-3.38,31.67,37.06,79.43,79.73,3.59,27.69,1,1,lmc,27.6908
Reticulum III,-3.3,62.18,62.18,91.62,91.6,3.55,29.24,1,1,mw,29.2358
Bootes V,-3.2,19.93,22.37,101.86,100.68,3.51,26.87,1,0,mw,26.8651
Pictor I,-3.1,32,42.84,114.82,116.45,3.47,28,1,0,mw,27.9933
Reticulum II,-3.1,36.46,57.73,31.62,32.98,3.47,28.28,1,1,lmc,28.2767
Tucana IV,-3,98.11,125.94,46.99,44.45,3.43,30.53,1,1,mw,30.5261
Bootes II,-2.94,33,38.25,41.69,39.51,3.41,28.22,1,1,mw,28.2201
Virgo III,-2.69,35.86,43.42,151.36,150.65,3.31,28.65,0,0,mw,28.6506
Pictor II,-2.65,31.86,36.33,44.87,45.65,3.29,28.44,1,1,lmc,28.4338
Phoenix II,-2.6,26.87,35.94,83.18,80.22,3.27,28.12,1,1,lmc,28.1139
Willman 1,-2.53,19.98,27.43,38.02,42.74,3.25,27.54,1,1,mw,27.5406
Aquarius III,-2.5,36.28,51.65,85.51,85.75,3.23,28.87,1,1,mw,28.8659
Leo Minor I,-2.4,25.53,25.53,81.66,85.19,3.19,28.21,1,0,mw,28.2028
Carina III,-2.4,19.51,30.02,27.8,28.96,3.19,27.62,1,1,lmc,27.6189
Horologium II,-2.07,33.33,38.04,77.98,79.02,3.06,29.12,1,0,mw,29.1118
Segue 2,-1.95,35.02,39.71,36.48,42.4,3.01,29.34,1,1,mw,29.3392
Virgo II,-1.6,15.4,15.4,72.44,67.85,2.87,27.91,1,0,mw,27.9052
Tucana III,-1.3,30,33.67,22.91,21.05,2.75,29.66,1,0,mw,29.6532
Triangulum II,-1.3,17.17,20.56,28.44,34.68,2.75,28.44,1,1,mw,28.4414
Segue 1,-1.3,19.52,23.9,22.91,27.77,2.75,28.72,1,1,mw,28.72
Tucana V,-1.1,22.8,33.03,54.95,51.84,2.67,29.26,1,1,mw,29.2572
Virgo I,-0.9,28.87,45.98,91.2,91.07,2.59,29.97,1,0,mw,29.9698
Draco II,-0.8,16.1,18.7,21.58,23.85,2.55,28.8,1,,mw,28.8017
Cetus II,0,16.26,16.26,29.92,32.4,2.23,29.63,1,0,mw,29.6232
